Player,Position,Country,Age,Height,Games,Minutes,Points,Points(avg)
Shane Larkin,Guard,USA,28,182,35,1003,528,15.09
Rodrigue Beaubois,Guard,France,32,190,38,814,401,10.55
Chris Singleton,Forward,USA,31,206,41,904,249,6.07
Yigitcan Saybir,Forward,Turkey,21,203,2,5,2,1.0
Dogus Balbay,Guard,Turkey,31,185,29,195,41,1.41
Tolga Gecim,Forward,Turkey,24,206,6,33,4,0.67
Erten Gazi,Guard,Turkey,23,190,9,50,14,1.56
Sertac Sanli,Center,Turkey,29,212,34,484,266,7.82
Adrien Moerman,Forward,France,32,202,41,841,263,6.41
Bugrahan Tuncer,Guard,Turkey,27,193,16,91,36,2.25
Tibor Pleiss,Center,Germany,31,221,24,289,163,6.79
Vasilije Micic,Guard,Serbia,26,196,40,1200,668,16.7
James Anderson,Forward,USA,31,198,41,622,172,4.20
Bryant Dunston,Center,USA,34,203,36,758,284,7.89
Krunoslav Simon,Guard,Croatia,35,197,35,932,362,10.34
